CIDR                range start         range end (inclusive)   #addresses
192.168.1.0/24      192.168.1.0         192.168.1.255           256       
172.21.152.0/23     172.21.152.0        172.21.159.255          2^9       
127.0.0.1/32        127.0.0.1           127.0.0.1               1
10.0.0.0/8          10.0.0.0            10.255.255.255          2^24  
0.0.0.0/1           0.0.0.0             127.255.255.255         2^31
0.0.0.0/0           0.0.0.0             255.255.255.255         2^32
131.174.0.0/16      131.174.0.0         131.174.255.255         2^16
131.174.16.128/26   131.174.16.128      131.174.16.191          2^6
145.116.128.0/18    145.116.128.0       145.116.191.255         2^14

# value of each postion for 8 bits: 128 64 32 16 8 4 2
